iter	Passed	Remaining
0	148	148173
1	149	74768
2	150	50019
3	151	37624
4	151	30186
5	152	25221
6	152	21673
7	153	19012
8	153	16941
9	154	15286
10	154	13933
11	155	12807
12	156	11852
13	156	11036
14	157	10348
15	158	9726
16	158	9177
17	159	8688
18	159	8248
19	160	7853
20	160	7498
21	161	7173
22	161	6878
23	162	6610
24	163	6360
25	163	6129
26	164	5913
27	164	5714
28	165	5529
29	165	5358
30	166	5197
31	167	5052
32	167	4912
33	168	4780
34	168	4656
35	169	4537
36	169	4423
37	170	4318
38	171	4218
39	171	4122
40	172	4032
41	172	3945
42	173	3862
43	174	3783
44	174	3707
45	175	3634
46	175	3565
47	176	3499
48	177	3437
49	177	3376
50	178	3317
51	178	3260
52	179	3205
53	180	3155
54	180	3105
55	181	3059
56	182	3014
57	182	2968
58	183	2923
59	183	2880
60	184	2838
61	184	2798
62	185	2760
63	186	2728
64	187	2694
65	188	2660
66	188	2626
67	189	2592
68	189	2560
69	190	2528
70	190	2497
71	191	2467
72	191	2437
73	192	2409
74	193	2381
75	193	2355
76	194	2330
77	195	2305
78	195	2280
79	196	2256
80	196	2233
81	197	2212
82	198	2187
83	198	2166
84	199	2145
85	200	2130
86	201	2110
87	201	2090
88	202	2075
89	203	2056
90	203	2036
91	204	2018
92	205	2000
93	205	1982
94	206	1965
95	206	1949
96	207	1933
97	208	1917
98	208	1901
99	209	1887
100	210	1871
101	210	1856
102	211	1841
103	211	1825
104	212	1811
105	213	1796
106	213	1782
107	214	1768
108	214	1754
109	215	1740
110	215	1728
111	216	1716
112	217	1705
113	217	1693
114	218	1681
115	219	1669
116	219	1656
117	220	1645
118	220	1633
119	221	1622
120	221	1611
121	222	1599
122	223	1590
123	223	1579
124	224	1568
125	224	1557
126	224	1546
127	225	1536
128	226	1526
129	226	1517
130	227	1508
131	227	1498
132	228	1490
133	229	1481
134	229	1472
135	230	1463
136	230	1454
137	231	1446
138	232	1437
139	232	1429
140	233	1421
141	233	1412
142	234	1404
143	234	1396
144	235	1388
145	236	1382
146	237	1375
147	238	1371
148	238	1363
149	239	1356
150	239	1348
151	240	1341
152	241	1334
153	241	1327
154	242	1321
155	243	1314
156	243	1308
157	244	1303
158	245	1298
159	246	1294
160	246	1287
161	247	1281
162	248	1275
163	249	1270
164	249	1264
165	250	1258
166	251	1252
167	251	1246
168	252	1240
169	252	1234
170	253	1228
171	253	1222
172	254	1216
173	255	1210
174	255	1204
175	256	1199
176	256	1193
177	257	1188
178	258	1183
179	258	1178
180	259	1173
181	259	1168
182	260	1163
183	261	1158
184	261	1152
185	262	1147
186	262	1142
187	263	1137
188	264	1133
189	264	1128
190	265	1123
191	265	1118
192	266	1113
193	267	1109
194	267	1105
195	268	1101
196	269	1097
197	269	1092
198	270	1088
199	270	1083
200	271	1079
201	272	1074
202	272	1071
203	273	1067
204	274	1064
205	274	1059
206	275	1055
207	276	1051
208	276	1047
209	277	1044
210	278	1041
211	279	1037
212	279	1034
213	280	1029
214	281	1026
215	281	1022
216	282	1018
217	282	1014
218	283	1010
219	284	1006
220	284	1002
221	285	999
222	285	995
223	286	991
224	287	990
225	288	986
226	288	983
227	289	979
228	290	976
229	290	973
230	291	969
231	291	966
232	292	962
233	293	959
234	293	956
235	294	952
236	295	949
237	295	946
238	296	943
239	296	940
240	297	937
241	298	934
242	299	931
243	299	928
244	300	925
245	300	922
246	301	919
247	302	915
248	302	912
249	303	909
250	304	907
251	304	904
252	305	901
253	305	898
254	306	896
255	307	893
256	308	890
257	308	888
258	309	885
259	310	882
260	310	880
261	311	877
262	312	874
263	312	871
264	313	868
265	313	866
266	314	863
267	315	860
268	315	857
269	316	854
270	316	852
271	317	849
272	318	847
273	318	845
274	319	842
275	320	839
276	320	837
277	321	834
278	322	832
279	322	829
280	323	827
281	324	825
282	324	823
283	325	820
284	326	818
285	326	815
286	327	813
287	328	810
288	328	808
289	329	806
290	330	804
291	330	801
292	331	799
293	331	797
294	332	794
295	333	792
296	333	790
297	334	787
298	335	785
299	335	783
300	336	781
301	337	779
302	337	777
303	338	775
304	339	773
305	340	771
306	340	769
307	341	766
308	341	764
309	342	762
310	343	760
311	343	757
312	344	755
313	344	753
314	345	751
315	346	748
316	346	746
317	347	744
318	348	742
319	348	741
320	349	739
321	350	737
322	350	735
323	351	733
324	352	731
325	352	729
326	353	727
327	354	725
328	354	723
329	355	721
330	356	719
331	356	717
332	357	715
333	358	714
334	359	712
335	359	710
336	360	709
337	360	706
338	361	704
339	362	702
340	362	701
341	363	699
342	363	697
343	364	695
344	365	693
345	365	691
346	366	689
347	366	687
348	367	685
349	368	683
350	368	681
351	369	679
352	369	677
353	370	676
354	371	674
355	371	672
356	372	671
357	373	669
358	373	667
359	374	665
360	375	664
361	375	662
362	376	660
363	377	659
364	377	657
365	378	656
366	379	654
367	380	653
368	381	651
369	381	649
370	382	648
371	383	646
372	383	644
373	384	643
374	385	641
375	385	639
376	386	638
377	386	636
378	387	634
379	387	632
380	388	631
381	389	629
382	389	628
383	390	626
384	391	624
385	391	623
386	392	621
387	392	619
388	393	618
389	394	616
390	394	614
391	395	613
392	395	611
393	396	609
394	397	608
395	398	607
396	398	605
397	399	604
398	400	603
399	401	601
400	401	600
401	402	598
402	403	597
403	404	596
404	404	594
405	405	593
406	405	591
407	406	589
408	407	588
409	407	587
410	408	585
411	409	584
412	410	582
413	410	581
414	411	579
415	412	578
416	412	576
417	413	575
418	414	574
419	414	572
420	415	571
421	415	569
422	416	568
423	417	566
424	417	565
425	418	563
426	419	562
427	419	561
428	420	559
429	421	558
430	421	556
431	422	555
432	422	553
433	423	552
434	424	550
435	424	549
436	425	548
437	426	546
438	426	545
439	427	543
440	428	542
441	428	541
442	429	540
443	430	538
444	430	537
445	431	535
446	432	534
447	432	533
448	433	531
449	434	530
450	434	529
451	435	527
452	435	526
453	436	525
454	437	523
455	438	522
456	438	521
457	439	519
458	439	518
459	440	517
460	441	515
461	441	514
462	442	513
463	443	511
464	443	510
465	444	509
466	444	507
467	445	506
468	446	505
469	446	503
470	447	502
471	448	501
472	449	500
473	450	499
474	450	497
475	451	496
476	451	495
477	452	493
478	452	492
479	453	491
480	454	489
481	454	488
482	455	487
483	455	485
484	456	484
485	457	483
486	457	482
487	458	481
488	459	479
489	459	478
490	460	477
491	461	476
492	461	475
493	462	473
494	463	472
495	463	471
496	464	469
497	464	468
498	465	467
499	466	466
500	466	464
501	467	463
502	467	462
503	468	461
504	469	460
505	470	459
506	471	458
507	472	457
508	472	455
509	473	454
510	473	453
511	474	452
512	475	451
513	475	449
514	476	448
515	477	447
516	478	446
517	478	445
518	479	444
519	480	443
520	480	441
521	481	440
522	481	439
523	482	438
524	482	436
525	483	435
526	484	434
527	484	433
528	485	432
529	485	430
530	486	429
531	487	428
532	487	427
533	488	426
534	489	425
535	490	424
536	490	423
537	491	422
538	492	421
539	493	419
540	493	418
541	494	417
542	494	416
543	495	415
544	496	414
545	497	413
546	497	412
547	498	411
548	499	409
549	499	408
550	500	407
551	501	406
552	501	405
553	502	404
554	503	403
555	503	402
556	504	401
557	505	400
558	505	399
559	506	397
560	507	396
561	507	395
562	508	394
563	509	393
564	510	392
565	510	391
566	511	390
567	512	389
568	512	388
569	513	387
570	513	386
571	514	385
572	515	383
573	515	382
574	516	381
575	517	380
576	518	380
577	519	379
578	519	378
579	520	377
580	521	376
581	522	375
582	522	373
583	523	372
584	524	371
585	524	370
586	525	369
587	525	368
588	526	367
589	527	366
590	528	365
591	528	364
592	529	363
593	530	362
594	531	361
595	531	360
596	532	359
597	533	358
598	533	357
599	534	356
600	535	355
601	535	354
602	536	353
603	537	352
604	538	351
605	539	350
606	539	349
607	540	348
608	541	347
609	541	346
610	542	345
611	542	344
612	543	343
613	544	342
614	544	341
615	545	340
616	546	338
617	546	337
618	547	336
619	548	335
620	548	334
621	549	333
622	550	333
623	551	332
624	552	331
625	552	330
626	553	329
627	554	328
628	554	327
629	555	326
630	555	325
631	556	324
632	557	322
633	557	321
634	558	320
635	559	320
636	559	319
637	560	317
638	561	316
639	561	315
640	562	314
641	563	314
642	564	313
643	564	312
644	565	311
645	565	310
646	566	309
647	566	307
648	567	307
649	568	306
650	569	305
651	569	304
652	570	303
653	571	302
654	572	301
655	572	300
656	573	299
657	574	298
658	574	297
659	575	296
660	576	295
661	576	294
662	577	293
663	578	292
664	579	291
665	579	290
666	580	289
667	581	288
668	581	287
669	582	286
670	583	286
671	584	285
672	584	284
673	585	283
674	585	282
675	586	281
676	587	280
677	587	279
678	588	278
679	589	277
680	590	276
681	590	275
682	591	274
683	592	273
684	592	272
685	593	271
686	594	270
687	594	269
688	595	268
689	595	267
690	596	266
691	596	265
692	597	264
693	598	263
694	599	263
695	600	262
696	600	261
697	601	260
698	602	259
699	602	258
700	603	257
701	604	256
702	604	255
703	605	254
704	605	253
705	606	252
706	607	251
707	607	250
708	608	249
709	609	248
710	610	247
711	610	247
712	611	246
713	612	245
714	612	244
715	613	243
716	614	242
717	615	241
718	615	240
719	616	239
720	616	238
721	617	237
722	618	236
723	619	236
724	619	235
725	620	234
726	621	233
727	621	232
728	622	231
729	623	230
730	623	229
731	624	228
732	625	227
733	625	226
734	626	225
735	626	224
736	627	223
737	628	223
738	629	222
739	629	221
740	630	220
741	631	219
742	631	218
743	632	217
744	633	216
745	633	215
746	634	214
747	635	213
748	635	213
749	636	212
750	637	211
751	638	210
752	639	209
753	640	208
754	640	207
755	641	207
756	642	206
757	642	205
758	643	204
759	644	203
760	644	202
761	645	201
762	646	200
763	647	199
764	648	199
765	649	198
766	649	197
767	650	196
768	651	195
769	652	194
770	653	193
771	653	193
772	654	192
773	654	191
774	655	190
775	656	189
776	656	188
777	657	187
778	658	186
779	659	185
780	659	185
781	660	184
782	661	183
783	661	182
784	662	181
785	663	180
786	663	179
787	664	178
788	665	177
789	665	176
790	666	176
791	666	175
792	667	174
793	668	173
794	669	172
795	669	171
796	670	170
797	671	169
798	671	169
799	672	168
800	673	167
801	674	166
802	674	165
803	675	164
804	675	163
805	676	162
806	677	161
807	677	161
808	678	160
809	679	159
810	679	158
811	680	157
812	681	156
813	681	155
814	682	154
815	683	154
816	683	153
817	684	152
818	684	151
819	685	150
820	686	149
821	686	148
822	687	147
823	688	147
824	688	146
825	689	145
826	690	144
827	690	143
828	691	142
829	691	141
830	692	140
831	693	139
832	693	139
833	694	138
834	694	137
835	695	136
836	696	135
837	696	134
838	697	133
839	698	133
840	699	132
841	699	131
842	700	130
843	701	129
844	701	128
845	702	127
846	703	127
847	703	126
848	704	125
849	705	124
850	705	123
851	706	122
852	707	121
853	708	121
854	708	120
855	709	119
856	710	118
857	711	117
858	712	116
859	712	116
860	713	115
861	714	114
862	714	113
863	715	112
864	715	111
865	716	110
866	717	110
867	718	109
868	719	108
869	719	107
870	720	106
871	721	105
872	721	105
873	722	104
874	723	103
875	723	102
876	724	101
877	725	100
878	726	100
879	727	99
880	728	98
881	729	97
882	729	96
883	730	95
884	731	94
885	731	94
886	732	93
887	732	92
888	733	91
889	734	90
890	734	89
891	735	89
892	736	88
893	737	87
894	738	86
895	739	85
896	740	84
897	740	84
898	741	83
899	742	82
900	742	81
901	743	80
902	744	79
903	744	79
904	745	78
905	745	77
906	746	76
907	747	75
908	748	74
909	748	74
910	749	73
911	750	72
912	751	71
913	751	70
914	752	69
915	753	69
916	753	68
917	754	67
918	755	66
919	755	65
920	756	64
921	757	64
922	757	63
923	758	62
924	759	61
925	759	60
926	760	59
927	761	59
928	761	58
929	762	57
930	763	56
931	763	55
932	764	54
933	765	54
934	765	53
935	766	52
936	767	51
937	768	50
938	769	49
939	769	49
940	770	48
941	771	47
942	771	46
943	772	45
